invoice_id,outlet_id,invoice_date,due_date,invoice_amount,paid_date,paid_amount,outstanding,aging_days,status
INV3809821,OUT5011,2026-05-17,2026-06-16,464079,2026-07-11,464079,0,0,Paid
INV4093788,OUT5011,2025-07-27,2025-08-26,458837,,0,458837,302,Bad Debt
INV7382091,OUT5011,2026-01-06,2026-02-05,379744,2026-02-27,379744,0,0,Paid
INV2025121,OUT5011,2025-09-06,2025-10-06,160728,2025-11-05,160728,0,0,Paid
INV3136894,OUT5012,2025-12-17,2026-02-15,265210,2026-03-04,265210,0,0,Paid
INV7069068,OUT5012,2025-10-02,2025-12-01,147319,2025-12-14,147319,0,0,Paid
INV4613161,OUT5012,2025-06-23,2025-08-22,272770,2025-08-27,272770,0,0,Paid
INV8140580,OUT5012,2026-06-17,2026-08-16,25507,2026-09-04,25507,0,0,Paid
INV9428794,OUT5012,2026-01-12,2026-03-13,299493,2026-03-11,299493,0,0,Paid
INV6487321,OUT5012,2026-03-16,2026-05-15,306318,2026-05-20,306318,0,0,Paid
INV209895,OUT5012,2025-09-12,2025-11-11,259136,2025-11-23,259136,0,0,Paid
INV3421829,OUT5012,2026-02-24,2026-04-25,116948,,0,116948,60,Bad Debt
INV816767,OUT5012,2025-10-29,2025-12-28,325072,2025-12-25,325072,0,0,Paid
INV8011454,OUT5013,2026-05-28,2026-06-04,481197,2026-07-01,481197,0,0,Paid
INV9875720,OUT5013,2025-06-30,2025-07-07,359303,2025-07-15,359303,0,0,Paid
INV1871697,OUT5013,2025-06-30,2025-07-07,138052,2025-07-09,138052,0,0,Paid
INV7456777,OUT5014,2025-11-14,2025-11-14,68198,,0,68198,222,Outstanding
INV5339484,OUT5014,2026-04-30,2026-04-30,146699,2026-05-18,146699,0,0,Paid
INV6651326,OUT5014,2026-06-05,2026-06-05,35517,2026-06-05,35517,0,0,Paid
INV4623392,OUT5015,2025-12-03,2026-01-02,204908,2026-01-24,204908,0,0,Paid
INV2950107,OUT5015,2025-11-06,2025-12-06,11537,2025-12-05,11537,0,0,Paid
INV7815869,OUT5015,2026-01-15,2026-02-14,186374,2026-02-11,186374,0,0,Paid
INV1403137,OUT5016,2025-07-04,2025-07-11,447984,2025-08-09,447984,0,0,Paid
INV3521272,OUT5016,2025-09-15,2025-09-22,434564,,0,434564,275,Outstanding
INV8952266,OUT5016,2026-05-23,2026-05-30,332563,,0,332563,25,Outstanding
INV9592834,OUT5016,2026-03-15,2026-03-22,214577,2026-04-15,214577,0,0,Paid
INV6380985,OUT5016,2026-06-14,2026-06-21,239169,2026-06-23,239169,0,0,Paid
INV2177500,OUT5016,2025-11-16,2025-11-23,256526,2025-12-23,256526,0,0,Paid
INV1311508,OUT5016,2025-07-15,2025-07-22,168163,2025-07-31,168163,0,0,Paid
INV4905507,OUT5016,2026-03-12,2026-03-19,121828,2026-03-24,121828,0,0,Paid
INV9845304,OUT5017,2025-07-13,2025-07-20,113106,2025-07-20,113106,0,0,Paid
INV7260379,OUT5017,2026-03-02,2026-03-09,207468,2026-03-30,207468,0,0,Paid
INV3975293,OUT5017,2025-07-05,2025-07-12,498933,2025-07-25,498933,0,0,Paid
INV7648498,OUT5017,2025-09-10,2025-09-17,68332,2025-10-15,68332,0,0,Paid
INV5410649,OUT5017,2025-08-31,2025-09-07,59758,2025-09-17,59758,0,0,Paid
INV4063322,OUT5017,2025-08-28,2025-09-04,14552,2025-09-29,14552,0,0,Paid
INV9235485,OUT5017,2026-01-05,2026-01-12,289164,2026-01-08,289164,0,0,Paid
INV3737579,OUT5017,2026-01-28,2026-02-04,451364,2026-02-17,451364,0,0,Paid
INV9507899,OUT5017,2025-09-30,2025-10-07,201092,2025-10-18,201092,0,0,Paid
INV5714023,OUT5017,2026-04-10,2026-04-17,208009,2026-05-10,208009,0,0,Paid
INV7739707,OUT5018,2026-01-10,2026-02-24,363184,2026-02-22,363184,0,0,Paid
INV1063693,OUT5018,2025-08-05,2025-09-19,57712,2025-09-26,57712,0,0,Paid
INV6143911,OUT5018,2025-10-02,2025-11-16,277445,2025-11-17,277445,0,0,Paid
INV761462,OUT5018,2025-12-14,2026-01-28,290108,2026-02-21,290108,0,0,Paid
INV2129930,OUT5018,2026-02-14,2026-03-31,316937,2026-04-28,316937,0,0,Paid
INV2241709,OUT5018,2025-09-15,2025-10-30,144405,2025-11-20,144405,0,0,Paid
INV336779,OUT5019,2025-12-04,2026-01-03,175392,,0,175392,172,Overdue
INV4478697,OUT5019,2025-09-11,2025-10-11,301655,2025-10-22,301655,0,0,Paid
INV7470209,OUT5019,2026-05-13,2026-06-12,255792,2026-06-23,255792,0,0,Paid
INV6958400,OUT5019,2025-11-13,2025-12-13,361841,2026-01-06,361841,0,0,Paid
INV2705425,OUT5019,2025-09-28,2025-10-28,147317,2025-11-21,147317,0,0,Paid
INV2067738,OUT5019,2025-10-08,2025-11-07,70808,2025-11-29,70808,0,0,Paid
INV791537,OUT5019,2026-03-27,2026-04-26,99501,2026-05-10,99501,0,0,Paid
INV4758446,OUT5019,2025-11-29,2025-12-29,415379,2025-12-31,415379,0,0,Paid
INV6498878,OUT5019,2025-10-20,2025-11-19,286532,2025-11-18,286532,0,0,Paid
INV5829228,OUT5019,2025-12-20,2026-01-19,122577,2026-02-02,122577,0,0,Paid
INV9566576,OUT5020,2025-09-28,2025-11-12,239740,2025-11-27,239740,0,0,Paid
INV4530686,OUT5020,2025-12-04,2026-01-18,491010,2026-01-25,491010,0,0,Paid
INV5032604,OUT5020,2026-02-21,2026-04-07,307861,2026-04-03,307861,0,0,Paid
INV5489481,OUT5020,2025-09-23,2025-11-07,298315,2025-12-03,298315,0,0,Paid
INV6974360,OUT5020,2025-11-23,2026-01-07,309054,2026-01-29,309054,0,0,Paid
INV9523672,OUT5020,2025-11-11,2025-12-26,164335,2026-01-10,164335,0,0,Paid
INV2405570,OUT5020,2025-08-05,2025-09-19,144610,2025-10-06,144610,0,0,Paid
INV9136227,OUT5021,2025-12-05,2026-02-03,295113,2026-03-01,295113,0,0,Paid
INV7343830,OUT5021,2025-12-06,2026-02-04,32544,2026-02-17,32544,0,0,Paid
INV9558829,OUT5021,2025-08-28,2025-10-27,351342,,0,351342,240,Bad Debt
INV3067401,OUT5021,2026-04-23,2026-06-22,25396,2026-06-23,25396,0,0,Paid
INV3754594,OUT5021,2025-09-06,2025-11-05,12328,2025-11-08,12328,0,0,Paid
INV2792268,OUT5021,2025-09-22,2025-11-21,231223,2025-11-25,231223,0,0,Paid
INV4091636,OUT5021,2025-09-21,2025-11-20,101704,2025-11-15,101704,0,0,Paid
INV1166571,OUT5021,2026-01-03,2026-03-04,367770,2026-03-01,367770,0,0,Paid
INV4487119,OUT5021,2026-06-14,2026-08-13,320783,2026-08-30,320783,0,0,Paid
INV4957458,OUT5022,2025-09-25,2025-11-24,161551,2025-12-09,161551,0,0,Paid
INV5053323,OUT5022,2025-08-13,2025-10-12,186285,,0,186285,255,Overdue
INV3346777,OUT5022,2026-06-05,2026-08-04,40625,,0,40625,-41,Outstanding
INV3101499,OUT5023,2026-02-20,2026-03-07,339279,,0,339279,109,Overdue
INV6090606,OUT5023,2025-09-14,2025-09-29,33610,,0,33610,268,Outstanding
INV5676512,OUT5023,2026-04-25,2026-05-10,216978,2026-05-17,216978,0,0,Paid
INV1802110,OUT5023,2025-08-20,2025-09-04,234010,2025-09-29,234010,0,0,Paid
INV6532120,OUT5023,2025-09-23,2025-10-08,318116,2025-11-05,318116,0,0,Paid
INV5508962,OUT5023,2026-01-10,2026-01-25,340425,2026-02-12,340425,0,0,Paid
INV4949284,OUT5023,2025-12-11,2025-12-26,243117,2026-01-25,243117,0,0,Paid
INV5254989,OUT5023,2026-02-07,2026-02-22,314528,2026-03-15,314528,0,0,Paid
INV6065062,OUT5024,2025-09-09,2025-09-16,80787,,0,80787,281,Bad Debt
INV9162773,OUT5024,2025-08-28,2025-09-04,348242,2025-09-16,348242,0,0,Paid
INV5298177,OUT5024,2025-06-24,2025-07-01,362288,2025-07-27,362288,0,0,Paid
INV9872502,OUT5024,2026-01-07,2026-01-14,292691,,0,292691,161,Overdue
INV9077520,OUT5024,2026-02-16,2026-02-23,491630,2026-03-12,491630,0,0,Paid
INV6106985,OUT5024,2026-06-11,2026-06-18,17795,2026-07-16,17795,0,0,Paid
INV7341429,OUT5024,2026-01-23,2026-01-30,336719,,0,336719,145,Overdue
INV6325583,OUT5025,2025-09-09,2025-10-09,207675,,0,207675,258,Outstanding
INV4600867,OUT5025,2025-07-31,2025-08-30,208447,2025-08-30,208447,0,0,Paid
INV6194404,OUT5025,2026-06-22,2026-07-22,475827,,0,475827,-28,Overdue
INV9642928,OUT5025,2025-07-17,2025-08-16,254958,2025-09-11,254958,0,0,Paid
INV2319595,OUT5025,2025-12-23,2026-01-22,152608,2026-02-06,152608,0,0,Paid
INV4890562,OUT5026,2026-01-18,2026-01-25,26762,2026-01-31,26762,0,0,Paid
INV4646630,OUT5026,2026-03-20,2026-03-27,69728,2026-03-30,69728,0,0,Paid
INV2224539,OUT5026,2025-09-07,2025-09-14,132844,2025-10-12,132844,0,0,Paid
INV1246818,OUT5026,2026-03-06,2026-03-13,465875,2026-03-24,465875,0,0,Paid
INV9767125,OUT5026,2026-06-16,2026-06-23,414497,2026-07-04,414497,0,0,Paid
INV5975986,OUT5026,2025-09-01,2025-09-08,478159,,0,478159,289,Outstanding
INV2640446,OUT5027,2026-05-22,2026-06-21,497881,,0,497881,3,Bad Debt
INV4772149,OUT5027,2026-05-10,2026-06-09,477556,2026-06-10,477556,0,0,Paid
INV9341719,OUT5027,2026-02-05,2026-03-07,242198,2026-03-08,242198,0,0,Paid
INV5330006,OUT5027,2026-04-17,2026-05-17,70598,2026-06-05,70598,0,0,Paid
INV6584400,OUT5027,2026-05-24,2026-06-23,98843,,0,98843,1,Bad Debt
INV9710811,OUT5027,2025-11-02,2025-12-02,363761,,0,363761,204,Bad Debt
INV1485398,OUT5027,2026-04-06,2026-05-06,245176,2026-05-18,245176,0,0,Paid
INV4960851,OUT5027,2026-04-17,2026-05-17,88405,2026-06-15,88405,0,0,Paid
INV6759283,OUT5028,2026-02-06,2026-03-08,94552,2026-03-04,94552,0,0,Paid
INV7361891,OUT5028,2025-06-24,2025-07-24,44318,,0,44318,335,Bad Debt
INV6775083,OUT5028,2026-06-02,2026-07-02,14729,2026-07-19,14729,0,0,Paid
INV8353880,OUT5028,2026-03-26,2026-04-25,160249,2026-05-06,160249,0,0,Paid
INV1182895,OUT5028,2025-08-16,2025-09-15,260518,2025-10-02,260518,0,0,Paid
INV669177,OUT5028,2026-03-24,2026-04-23,238187,2026-04-22,238187,0,0,Paid
INV4828633,OUT5028,2026-04-02,2026-05-02,350292,,0,350292,53,Bad Debt
INV1056484,OUT5029,2026-04-26,2026-05-26,46308,2026-06-13,46308,0,0,Paid
INV4718434,OUT5029,2025-12-29,2026-01-28,430119,,0,430119,147,Overdue
INV545081,OUT5029,2026-05-18,2026-06-17,286881,2026-07-07,286881,0,0,Paid
INV1358521,OUT5029,2025-12-02,2026-01-01,319459,2026-01-17,319459,0,0,Paid
INV2657847,OUT5029,2026-02-03,2026-03-05,407356,2026-03-12,407356,0,0,Paid
INV9687840,OUT5029,2026-06-18,2026-07-18,395690,2026-08-01,395690,0,0,Paid
INV7599416,OUT5029,2025-07-25,2025-08-24,327468,2025-09-20,327468,0,0,Paid
INV379389,OUT5029,2025-07-08,2025-08-07,122029,2025-08-16,122029,0,0,Paid
INV3486455,OUT5030,2025-09-22,2025-10-07,315013,2025-10-08,315013,0,0,Paid
INV9360942,OUT5030,2026-06-03,2026-06-18,36945,2026-06-22,36945,0,0,Paid
INV1212450,OUT5030,2026-02-06,2026-02-21,358666,2026-02-20,358666,0,0,Paid
INV6153376,OUT5031,2025-10-19,2025-11-18,403363,2025-11-28,403363,0,0,Paid
INV453077,OUT5031,2026-01-27,2026-02-26,55453,,0,55453,118,Outstanding
INV7562953,OUT5031,2025-10-11,2025-11-10,422392,2025-11-05,422392,0,0,Paid
INV6949809,OUT5031,2026-04-14,2026-05-14,330473,2026-05-15,330473,0,0,Paid
INV8663706,OUT5032,2025-11-12,2025-11-19,165766,2025-12-18,165766,0,0,Paid
INV6311364,OUT5032,2025-10-31,2025-11-07,446910,2025-11-29,446910,0,0,Paid
INV9148743,OUT5032,2025-08-10,2025-08-17,301820,2025-08-16,301820,0,0,Paid
INV8690835,OUT5032,2026-01-26,2026-02-02,359839,2026-02-21,359839,0,0,Paid
INV9071222,OUT5032,2025-12-18,2025-12-25,268626,2026-01-19,268626,0,0,Paid
INV8425038,OUT5033,2026-04-25,2026-05-02,377504,2026-05-28,377504,0,0,Paid
INV5225170,OUT5033,2026-03-01,2026-03-08,261730,2026-04-05,261730,0,0,Paid
INV7204328,OUT5033,2026-03-06,2026-03-13,337812,2026-03-24,337812,0,0,Paid
INV1655831,OUT5033,2025-11-24,2025-12-01,310764,,0,310764,205,Outstanding
INV6701419,OUT5033,2026-01-19,2026-01-26,148223,2026-02-25,148223,0,0,Paid
INV1754603,OUT5033,2026-02-12,2026-02-19,31236,2026-03-12,31236,0,0,Paid
INV8756865,OUT5033,2025-12-06,2025-12-13,463823,2025-12-14,463823,0,0,Paid
INV1788134,OUT5034,2026-06-10,2026-06-25,119643,2026-07-12,119643,0,0,Paid
INV6054534,OUT5034,2026-02-22,2026-03-09,383715,,0,383715,107,Bad Debt
INV2365222,OUT5034,2025-09-17,2025-10-02,455942,2025-10-22,455942,0,0,Paid
INV8944609,OUT5035,2025-08-12,2025-08-19,40288,2025-09-10,40288,0,0,Paid
INV9857674,OUT5035,2026-03-28,2026-04-04,127897,2026-04-13,127897,0,0,Paid
INV8200957,OUT5035,2025-08-31,2025-09-07,166644,2025-10-07,166644,0,0,Paid
INV9854456,OUT5035,2025-12-16,2025-12-23,384698,2025-12-27,384698,0,0,Paid
INV1149652,OUT5035,2025-12-27,2026-01-03,120081,2026-01-19,120081,0,0,Paid
INV9505452,OUT5035,2026-06-04,2026-06-11,176324,,0,176324,13,Outstanding
INV1902163,OUT5036,2025-07-03,2025-07-10,199262,,0,199262,349,Outstanding
INV9308317,OUT5036,2025-09-04,2025-09-11,62350,2025-09-28,62350,0,0,Paid
INV590238,OUT5036,2025-06-30,2025-07-07,200872,2025-07-29,200872,0,0,Paid
INV2850315,OUT5036,2026-02-08,2026-02-15,368288,2026-02-28,368288,0,0,Paid
INV6412603,OUT5037,2025-11-03,2026-01-02,314144,2026-01-21,314144,0,0,Paid
INV4479540,OUT5037,2026-05-14,2026-07-13,243794,2026-07-16,243794,0,0,Paid
INV8625173,OUT5037,2026-02-10,2026-04-11,420871,2026-05-03,420871,0,0,Paid
INV2690769,OUT5037,2026-02-17,2026-04-18,357570,2026-05-05,357570,0,0,Paid
INV8963029,OUT5037,2026-04-11,2026-06-10,437398,2026-06-12,437398,0,0,Paid
INV7361115,OUT5038,2025-06-30,2025-07-15,492019,,0,492019,344,Bad Debt
INV2879834,OUT5038,2026-06-18,2026-07-03,399485,,0,399485,-9,Bad Debt
INV6647151,OUT5038,2026-03-18,2026-04-02,90352,2026-03-28,90352,0,0,Paid
INV4268445,OUT5038,2025-08-15,2025-08-30,499566,2025-09-14,499566,0,0,Paid
INV9166556,OUT5038,2025-09-20,2025-10-05,371633,2025-10-03,371633,0,0,Paid
INV5689442,OUT5039,2025-07-24,2025-07-24,247119,2025-08-10,247119,0,0,Paid
INV2296859,OUT5039,2025-07-24,2025-07-24,118658,2025-08-02,118658,0,0,Paid
INV6606766,OUT5039,2026-04-21,2026-04-21,13429,2026-04-17,13429,0,0,Paid
INV7716612,OUT5039,2025-07-29,2025-07-29,491387,2025-07-29,491387,0,0,Paid
INV5663060,OUT5039,2026-03-20,2026-03-20,431695,2026-04-11,431695,0,0,Paid
INV2967217,OUT5039,2026-02-03,2026-02-03,90228,2026-02-05,90228,0,0,Paid
INV4148723,OUT5040,2025-09-13,2025-10-13,394852,2025-11-01,394852,0,0,Paid
INV6787422,OUT5040,2025-09-27,2025-10-27,486219,2025-10-28,486219,0,0,Paid
INV6702201,OUT5040,2026-01-19,2026-02-18,283329,2026-02-21,283329,0,0,Paid
INV6566898,OUT5040,2025-11-24,2025-12-24,121022,2026-01-19,121022,0,0,Paid
INV3551730,OUT5040,2026-03-15,2026-04-14,286830,2026-04-25,286830,0,0,Paid
INV1263363,OUT5040,2025-12-30,2026-01-29,172719,,0,172719,146,Overdue
INV826582,OUT5041,2026-04-25,2026-04-25,102085,2026-04-29,102085,0,0,Paid
INV4639771,OUT5041,2025-08-31,2025-08-31,74950,,0,74950,297,Outstanding
INV8359102,OUT5041,2025-11-09,2025-11-09,33593,2025-11-07,33593,0,0,Paid
INV2014835,OUT5041,2026-04-19,2026-04-19,223465,2026-05-06,223465,0,0,Paid
INV4720188,OUT5041,2026-04-30,2026-04-30,443883,2026-04-25,443883,0,0,Paid
INV3365700,OUT5042,2026-04-04,2026-04-04,27865,2026-05-01,27865,0,0,Paid
INV4072593,OUT5042,2026-02-06,2026-02-06,339427,2026-02-26,339427,0,0,Paid
INV7811146,OUT5042,2025-07-22,2025-07-22,142095,,0,142095,337,Bad Debt
INV2091976,OUT5042,2025-09-23,2025-09-23,159895,2025-10-21,159895,0,0,Paid
INV1136612,OUT5042,2026-02-26,2026-02-26,34671,2026-03-06,34671,0,0,Paid
INV5176235,OUT5042,2025-10-11,2025-10-11,326212,2025-10-06,326212,0,0,Paid
INV2729251,OUT5042,2026-04-11,2026-04-11,302491,2026-04-09,302491,0,0,Paid
INV5578778,OUT5042,2025-10-20,2025-10-20,449367,,0,449367,247,Outstanding
INV5855417,OUT5043,2025-11-06,2026-01-05,13248,2026-01-04,13248,0,0,Paid
INV4249443,OUT5043,2026-04-27,2026-06-26,247644,2026-06-27,247644,0,0,Paid
INV5545153,OUT5043,2026-05-11,2026-07-10,433850,2026-08-04,433850,0,0,Paid
INV3696103,OUT5043,2026-05-07,2026-07-06,474339,2026-07-19,474339,0,0,Paid
INV126392,OUT5043,2025-07-13,2025-09-11,122868,2025-09-14,122868,0,0,Paid
INV7435558,OUT5043,2026-05-25,2026-07-24,64761,2026-08-08,64761,0,0,Paid
INV3631636,OUT5043,2025-11-12,2026-01-11,386221,2026-02-08,386221,0,0,Paid
INV5240064,OUT5044,2025-10-11,2025-11-10,65142,2025-11-22,65142,0,0,Paid
INV4445381,OUT5044,2025-08-31,2025-09-30,15861,2025-10-09,15861,0,0,Paid
INV7196075,OUT5044,2026-02-04,2026-03-06,445133,2026-03-21,445133,0,0,Paid
INV9794558,OUT5044,2025-08-04,2025-09-03,285895,2025-09-22,285895,0,0,Paid
INV7744155,OUT5044,2025-11-13,2025-12-13,447510,2026-01-10,447510,0,0,Paid
INV9123363,OUT5044,2025-12-22,2026-01-21,77455,2026-02-06,77455,0,0,Paid
INV7808583,OUT5044,2025-11-02,2025-12-02,476873,2025-12-16,476873,0,0,Paid
INV7711480,OUT5044,2025-08-01,2025-08-31,183891,,0,183891,297,Overdue
INV562778,OUT5044,2025-12-20,2026-01-19,118199,,0,118199,156,Outstanding
INV1652915,OUT5044,2026-03-30,2026-04-29,364823,2026-05-13,364823,0,0,Paid
INV4060624,OUT5045,2026-04-08,2026-04-15,105173,2026-05-06,105173,0,0,Paid
INV7727356,OUT5045,2025-11-27,2025-12-04,118053,,0,118053,202,Overdue
INV8360439,OUT5045,2026-03-29,2026-04-05,355878,2026-04-18,355878,0,0,Paid
INV4116809,OUT5045,2026-05-14,2026-05-21,451681,2026-05-25,451681,0,0,Paid
INV7422829,OUT5045,2025-12-29,2026-01-05,472803,2026-01-13,472803,0,0,Paid
INV8624523,OUT5045,2026-05-26,2026-06-02,391861,2026-06-22,391861,0,0,Paid
INV1217647,OUT5045,2026-04-14,2026-04-21,279102,2026-05-10,279102,0,0,Paid
INV5940918,OUT5045,2026-04-18,2026-04-25,154201,2026-05-21,154201,0,0,Paid
INV7136490,OUT5045,2025-12-14,2025-12-21,441232,2026-01-17,441232,0,0,Paid
INV7811466,OUT5045,2026-06-11,2026-06-18,378626,2026-07-03,378626,0,0,Paid
INV4231887,OUT5046,2025-11-09,2025-12-09,286781,,0,286781,197,Outstanding
INV335736,OUT5046,2026-05-12,2026-06-11,232429,,0,232429,13,Outstanding
INV7816486,OUT5046,2025-12-23,2026-01-22,200920,2026-02-21,200920,0,0,Paid
INV4087576,OUT5047,2025-12-01,2025-12-31,304558,2026-01-28,304558,0,0,Paid
INV6274043,OUT5047,2026-03-06,2026-04-05,300149,2026-04-20,300149,0,0,Paid
INV7267417,OUT5047,2025-10-21,2025-11-20,262557,2025-12-13,262557,0,0,Paid
INV7277033,OUT5047,2026-05-16,2026-06-15,61812,2026-07-04,61812,0,0,Paid
INV5739716,OUT5047,2025-08-21,2025-09-20,288321,2025-10-16,288321,0,0,Paid
INV7673685,OUT5048,2026-05-22,2026-06-21,425478,2026-07-11,425478,0,0,Paid
INV1173963,OUT5048,2026-04-22,2026-05-22,228852,2026-06-11,228852,0,0,Paid
INV118387,OUT5048,2026-04-16,2026-05-16,434360,2026-06-12,434360,0,0,Paid
INV8033608,OUT5048,2025-07-26,2025-08-25,274634,,0,274634,303,Overdue
INV4373381,OUT5049,2025-12-07,2025-12-14,53016,2026-01-12,53016,0,0,Paid
INV9483721,OUT5049,2025-10-07,2025-10-14,25842,2025-11-08,25842,0,0,Paid
INV1793794,OUT5049,2025-11-28,2025-12-05,343719,2025-12-28,343719,0,0,Paid
INV499322,OUT5049,2025-06-30,2025-07-07,422698,2025-07-31,422698,0,0,Paid
INV3657160,OUT5049,2026-04-21,2026-04-28,415929,2026-05-03,415929,0,0,Paid
INV8942453,OUT5049,2025-09-11,2025-09-18,63789,2025-09-14,63789,0,0,Paid
INV9781274,OUT5049,2026-02-25,2026-03-04,176474,2026-03-14,176474,0,0,Paid
INV1467566,OUT5050,2025-12-13,2026-02-11,335522,2026-03-07,335522,0,0,Paid
INV4581712,OUT5050,2025-09-26,2025-11-25,12966,2025-12-03,12966,0,0,Paid
